x,y,x,y,Name,Genes
0.014755176,5.0030785,10.163749,6.4308352,monocyte activation (GO:0042117),FOXP1 HYAL2 CSF1 SPACA3 MT1G ADAM9 ADAM10 AZU1 
0.069720566,2.5055444,10.217333,9.165899,cobalamin metabolic process (GO:0009235),CD320 AMN CUBN MTRR GIF PRSS1 ABCD4 MMAB CTRB2 MUT MTR LMBRD1 TCN2 TCN1 CTRB1 MMAA MMACHC MMADHC PRSS3 ABCC1 CTRC 
0.5734085,3.8928921,9.467963,7.465065,prostaglandin biosynthetic process (GO:0001516),EDN1 PTGIS EDN2 CD74 PNPLA8 PTGES3 MIF FAM213B PTGES PTGS1 PTGS2 PTGDS 
1.1525956,2.3937538,8.616577,8.936365,prostaglandin metabolic process (GO:0006693),HPGDS HPGD ACOX1 AKR1C2 AKR1C3 CYP4F8 PTGR2 PTGES PTGS2 
1.161349,2.4947934,8.663182,8.760985,cyclooxygenase pathway (GO:0019371),HPGDS PTGIS CBR1 PTGES2 PTGES3 TBXAS1 AKR1C3 PTGES PTGS1 PTGS2 PTGDS 
-2.1796193,6.833747,9.844856,4.082749,chromatin silencing (GO:0006342),H2AFZ HIST1H2AJ H2AFX H2AFY MSL3 H2AFV SIRT5 SIRT1 SIRT2 SIRT4 HYPM MORF4L1 HIST3H2A HILS1 MORF4L2 MSL3P1 H2AFY2 TNP1 HDAC5 H2AFB1 HIST2H2AA3 SUPT6H H2AFB2 KMT2D HIST2H2AC HIST2H2AB UBR2 BAHCC1 H2AFJ BAHD1 TNRC18 HIST1H2AH HIST1H2AG HIST1H2AB HIST1H2AA HIST1H2AD HIST1H2AC 
-2.036483,6.2382097,11.220587,3.9545634,positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148),FOXA1 PAGR1 PAK1 DDX5 DDX17 KMT2D 
-1.780211,7.175428,10.469551,3.7164676,histone H3-K4 methylation (GO:0051568),PAXIP1 SETD3 KMT2B KMT2A KMT2D WDR5 SETD1B CXXC1 DPY30 SETMAR RBBP5 WDR82 ASH2L KDM6A 
-2.2730658,4.4471426,12.63297,5.926071,blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043),BMP4 ACVRL1 SEMA5A ITGB1BP1 BMPER NRARP 
-1.4364924,4.5594916,12.318261,5.796968,positive regulation of endothelial cell migration (GO:0010595),GPLD1 EDN1 ANGPT4 ANXA3 ANGPT1 ZNF580 WNT5A PROX1 PRKCA AGT RHOB VEGFA FOXP1 BMP4 ITGB1BP1 TEK PRKD1 PRKD2 CALR TDGF1 BCAR1 NRP1 NRP2 BMPR2 FOXC2 SPARC ROCK2 FLT4 ITGB3 PDCD6 THBS1 FGF1 GATA3 ETS1 ATOH8 ZC3H12A PTK2B KDR AAMP SASH1 SCARB1 BCAS3 
-1.4814024,2.7069402,12.2396,7.8465767,protein transport (GO:0015031),VPS33B NDC1 SCAMP2 SCAMP1 LRP1B CENPF ITGB1BP1 RAB38 ZG16 MYH9 PPT1 VAMP2 RAMP1 RAMP2 RAB7A RAMP3 CALCRL IPO4 MIA3 LMAN2L CD3G HIKESHI HSP90B1 SNX4 CALCR RAP1A TOM1 RILP CEP290 
-0.42107767,4.651409,10.129191,6.616125,activation of protein kinase B activity (GO:0032148),DYNAP INSR NTRK3 OSBPL8 PDPK1 WNT5A TXN PDGFB NRG1 MT3 PARK7 IGF1 IL18 FGF1 INS ADRA2C ADRA2B ADRA2A CCDC88A PINK1 ITGB1BP1 NTF3 ANG GAS6 
-2.648268,3.450796,12.538642,6.2191863,integrin activation (GO:0033622),FERMT2 COL16A1 ITGB1BP1 FN1 CX3CL1 FERMT3 MZB1 
-1.8193454,4.060483,12.691593,6.3458476,regulation of cell adhesion mediated by integrin (GO:0033628),LYN EFNA1 EPHA8 ITGB1BP1 TESC PTPN11 PLAU EPHA2 PTK2 PIK3CG 
-2.0442832,4.372102,13.009643,5.538003,tube formation (GO:0035148),ATOH8 NOTCH1 ITGB1BP1 BCAS3 SDCCAG8 VEGFA DAB2IP 
-1.4834974,4.467846,12.247103,5.7302637,cellular response to vascular endothelial growth factor stimulus (GO:0035924),NRP1 FLT1 EGR3 NOTCH1 FLT4 NR4A1 HSPB1 VEGFA DAB2IP MAPK14 ERN1 DLL4 ITGB1BP1 MAPKAPK2 GAS1 PRKD1 MT1G KDR PRKD2 RAMP2 
-1.5711524,4.058507,11.527791,6.3240585,regulation of GTPase activity (GO:0043087),EPHA5 RALBP1 PLXNC1 RDX OCRL VAV1 VAV2 VAV3 ITGB1BP1 ARHGEF5 NF1 PLXNB2 PLXNB1 RAPGEF6 NGEF EPHA1 EPHA4 EPHA3 RABGAP1 PLXND1 EFNA5 RASIP1 FGD1 RAP1GAP FGD2 FGD3 FGD4 FGD5 FGD6 TBC1D15 BVES PRKG1 NTRK2 ADAP1 SOD1 DAB2IP PTK2 CRK RAB3GAP2 RAB3GAP1 STMN3 SYDE2 SIPA1L1 SYDE1 CHN2 CHN1 PROM2 EPHB3 TBC1D10B 
-0.3422024,6.4696856,11.488296,4.257833,cellular response to fibroblast growth factor stimulus (GO:0044344),CXCL8 TBX1 EGR3 ZFP36L1 SFRP1 NR4A1 ZFP36L2 DLL4 SETX ZFP36 DSTYK HYAL1 HYAL2 ITGB1BP1 CCL5 CCL2 TDGF1 CD44 
-1.9881127,4.595386,12.025778,5.6471863,positive regulation of stress fiber assembly (GO:0051496),CARMIL1 RHOA TGFB3 LIMK1 ARHGEF15 SERPINF2 SORBS3 TGFBR1 CDC42 RGCC ITGB1BP1 APOA1 NF2 RAPGEF3 ARHGEF5 EVL PFN2 EPHA1 ARHGEF10 FHOD1 GPR65 PPM1E PPM1F SFRP1 LPAR1 CTGF WNT11 PAK1 TPM1 RAC1 MYOC S100A10 
-2.4477189,4.7396145,12.606815,5.6214714,negative regulation of focal adhesion assembly (GO:0051895),ACVRL1 SRC DMTN PHLDB2 PTEN THBS1 ARHGAP6 CORO1C ITGB1BP1 DLC1 RCC2 APOD BCAS3 CLASP2 
-1.4050612,5.114924,14.200132,4.9026747,negative regulation of cell migration involved in sprouting angiogenesis (GO:0090051),HDAC5 MAP2K5 RHOA NOTCH1 PDCD10 MMRN2 STARD13 ITGB1BP1 KLF4 MEOX2 DLL4 
-2.3091235,4.624667,13.28276,8.960561,negative regulation of protein targeting to membrane (GO:0090315),KCNE1 DMTN GDI1 ITGB1BP1 INPP5K USP17L2 
-2.4031322,4.6965356,12.123228,5.4788,negative regulation of substrate adhesion-dependent cell spreading (GO:1900025),KANK1 DMTN ACTN4 ITGB1BP1 MELTF RCC2 TACSTD2 GBP1 AP1AR FBLN1 EFNA5 CORO1C 
-0.58129334,7.5961747,10.593782,3.4238088,tRNA methylation (GO:0030488),TRMT10A NSUN2 METTL2B METTL2A TARBP1 ALKBH8 MTO1 TRMT112 TRMT13 TRMO TRDMT1 TRMT44 LCMT2 
-0.6248344,6.2717023,8.861196,4.787234,activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635),CASP9 APAF1 CASP7 BAX CASP3 CYCS BOK 
-1.5507027,3.93049,11.510343,6.8584447,negative regulation of protein homooligomerization (GO:0032463),SRC GBA CLU RIOK3 CRYAB 
0.38002145,5.515682,8.819439,5.963052,negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124),ADIPOQ STAT1 TLE1 RHOH NR1H4 CARD8 TNIP1 ESR1 SIRT1 DAB2IP PPM1A PPM1B NLRP12 TNIP3 PER1 TRIM59 CARD19 CCDC22 ZMYND11 USP10 MAPKBP1 GSTP1 OTUD7B TNFAIP3 OTUD7A RORA NLRC3 TANK PYCARD CASP8 ZC3H12A RIOK3 RIPK1 
1.2560128,6.1145334,7.6104326,5.725089,positive regulation of innate immune response (GO:0045089),SH2D1B CD1D EREG PLSCR1 POLR3B POLR3C POLR3D POLR3F CCL5 POLR3G IFNB1 TLR8 RIOK3 IFNK GBP5 
-0.67673546,2.8633614,10.401684,8.646544,inositol metabolic process (GO:0006020),PPIP5K1 IMPA1 PPIP5K2 IMPA2 SLC5A3 
-0.8101923,3.188882,10.744286,7.944546,inositol phosphate metabolic process (GO:0043647),MIOX PLCH1 IPMK ITPK1 OCRL ITPKC INPP4B MINPP1 PLCB4 INPP4A SYNJ1 ITPKA ITPKB PLCD1 PLCH2 PLCD4 PLCB2 PLCB3 PLCB1 PLCD3 INPP1 ISYNA1 IPPK NUDT3 PTEN INPPL1 PLD4 NUDT4 INPP5D NUDT11 INPP5A NUDT10 PPIP5K1 IMPA1 INPP5B PPIP5K2 IMPA2 PLCZ1 PLCE1 PLCG1 PLCG2 INPP5J IP6K2 IP6K1 IP6K3 
-0.9211714,3.1155982,10.844161,8.01624,inositol phosphate dephosphorylation (GO:0046855),INPP5A IMPA1 IMPA2 SYNJ1 INPP5K PTEN 
-0.8063183,2.7182722,11.147851,8.580534,response to osmotic stress (GO:0006970),ATF2 MARVELD3 LRRC8A PLK3 AQP9 KCNMA1 MAP7 MAPK13 MAP2K7 
0.34760213,6.0941706,8.294559,5.1443486,JNK cascade (GO:0007254),MAP2K4 MAP4K2 MAP4K3 SH2D3A SH2D3C TNFRSF19 MINK1 DUSP9 MAPK10 ADORA2B TRAF6 MAP3K10 MAP3K11 UBE2V1 TAB3 TAB2 UBA52 TAB1 ARHGEF6 MAP3K12 UBE2N TRIB1 MAP3K13 GPS2 GPS1 PTGER4 NOD1 NOD2 CRKL DUSP10 MAPK9 MAPK8 UBC IRAK2 UBB IRAK1 RIPK2 MAP3K7 IKBKG RPS27A MAP3K5 MAP2K7 
-0.16138172,5.8033266,9.1542225,5.0561147,activation of JUN kinase activity (GO:0007257),MAP4K2 MAP4K1 SPAG9 DAXX MAP3K2 DBNL WNT5A MUL1 AXIN1 MAPK8IP3 DAB2IP ERN1 MDFIC MAP3K10 PKN1 MAP3K11 BIRC7 CD40LG HACD3 MAP3K21 MAP3K9 RIPK1 MAP3K20 CCL19 MAP3K5 MAP3K6 MAP2K7 MAP4K5 
-0.012824449,3.9893122,9.941681,6.468379,response to heat (GO:0009408),EIF2B5 EIF2B3 HSP90AA1 NOS3 PSIP1 HSPA2 IGF1 SOD1 CRNN GCLC DNAJB4 AKT1 NOS1 EIF2B2 EIF2B1 MICA MICB MAP2K7 
-2.8410785,8.261733,9.374754,2.2092352,response to UV (GO:0009411),MAP4K3 ZRANB3 CDKN2D UBE4B UBE2A GTF2H2 CIRBP REV1 UBE2B USF1 DDB2 ERCC4 ERCC5 MSH6 ERCC3 ERCC8 RAD18 SPRTN DTL ERCC6 TRIM32 BRSK1 SERPINB13 UVSSA PRIMPOL CCAR2 MAPK8 POLD1 USP1 PCLAF MAP2K7 ELANE 
-2.21309,7.4597692,9.188178,3.417212,positive regulation of telomere maintenance via telomerase (GO:0032212),CCT4 CCT3 ACD MAP3K4 CCT2 XRCC5 NEK7 TCP1 MAPK15 CCT6A MAPKAPK5 PKIB NAF1 ATM PRKCQ ATR POT1 TNKS PNKP PARN TNKS2 AURKB HMBOX1 MAPK3 NEK2 FBXO4 MAPK1 CCT8 CCT7 MAP2K7 CCT5 HNRNPA1 
-1.0460819,6.146894,9.73128,4.804444,proteolysis in other organism (GO:0035897),MAP2K4 MAP2K2 MAP2K3 MAP2K1 MAP2K6 MAP2K7 
0.16364072,6.1997857,8.052512,4.8344936,stress-activated MAPK cascade (GO:0051403),FBXW11 CHUK CUL1 NFKB1 IKBKB MAPK8 TNIP2 UBC UBB TAOK2 MAPK3 MAPK1 CCM2 MAP3K7 UBA52 IKBKG RPS27A MAP3K8 BTRC MAP3K5 SKP1 MAP2K7 
-2.1921592,7.467042,9.098983,3.3891382,positive regulation of telomerase activity (GO:0051973),CCT4 ACD MAP3K4 CCT2 HSP90AA1 XRCC5 PTGES3 NEK7 TCP1 GRHL2 MAPK15 KLF4 WRAP53 GREM1 DKC1 MAPKAPK5 PKIB NAF1 PRKCQ POT1 NVL PARM1 HSP90AB1 TNKS PNKP PARN AURKB HMBOX1 MYC MAPK3 NEK2 MAPK1 MAP2K7 
-2.2737603,7.4515285,9.104448,3.3314302,positive regulation of telomere capping (GO:1904355),MAP3K4 NEK7 TNKS PNKP TNKS2 MAPK15 RTEL1 AURKB MAPKAPK5 PKIB MAPK3 NEK2 NABP2 MAPK1 PRKCQ HNRNPD MAP2K7 
