x,y,Name,Genes
-15.0924835,-1.5043257,platelet dense granule (GO:0042827),ABCC4 ECM1 SERPINA4 CD63 ITIH4 ITIH3 RARRES2 LGALS3BP HPS4 RAB27B CTSW SGPP2 ITPR1 SELENOP CLEC3B SELP LAMP2 FAM3C TIMP3 APOH CDC37L
-12.038935,5.4953666,chromatoid body (GO:0033391),PIWIL2 DDX25 TDRD7 TDRD6 TDRD5 CLOCK PIWIL1 ARNT
-16.97344,-1.4126501,Golgi trans cisterna (GO:0000138),TMEM59 B4GALT1 YIPF1 YIPF2 SGMS1 YIPF6 HID
-16.69133,-0.24688996,elongin complex (GO:0070449),ELOA3B ELOA2 ELOA ELOB ELOA3 ELOC EPOP ELOA3
-11.346575,4.9909644,telomerase holoenzyme complex (GO:0005697),SMG5 NVL PTGES3 HNRNPU SMG6 SMG7 GNL3L LSM11 WRAP53 SNRNP40 HMBOX1 DKC1 SNRPD3 TERT NAT10 TEP1 GAR1 HNRNPC SNRPE NOP10 SNRPB NHP
-15.145103,2.062953,chromosomal region (GO:0098687),CCDC155 CENPW PTGES3 CBX3 CBX1 PPP2R5C PPP2R1A SMC1A CENPE SGO2 CENPF MIS18A RAD51D SGO1 INCENP ATM MRE11 TERF2IP POT1 CENP
-13.777964,-1.2610937,lipid droplet (GO:0005811),HSD3B7 ANXA2 ACSL3 CAV1 RSAD2 CIDEB CIDEC TSC1 ACSL4 CIDEA CTDNEP1 FAAH2 LDAH RAB7
-13.779804,1.7295105,centriole (GO:0005814),HSPA6 STARD9 OFD1 SPICE1 SIRT2 WDR34 AHI1 NIN IFT88 CENPJ CCP110 HSPA1A CEP83 CEP162 CEP41 SAXO1 CNTROB SAXO2 MPHOSPH9 SDCCAG8 FAM92A CCDC151 CEP89 RAN HSPA1
-11.399385,0.97508883,polysome (GO:0005844),UPF2 NAA30 VBP1 MCRS1 NAA35 RPL24 EIF2AK4 LARP4B LARP4 LARP6 LIN28A IMPACT AGO2 VIM AGO1 NAA38 CAL
-12.2632265,-0.86284006,tertiary granule membrane (GO:0070821),HGSNAT CHRNB4 CD300A SIGLEC14 NBEAL2 LILRB2 MCEMP1 ATP11A TMC6 CLEC4C RAP2B CLEC4D CEACAM1 RAP2C CEACAM8 PTPRB SIGLEC5 ADAM
-18.189962,-0.74735343,NLRP3 inflammasome complex (GO:0072559),PYCARD GSDMD DHX33 CASP12 CASP4 CASP5 NLRP3 CARD18 CARD8 CASP
-13.813848,-2.0739512,cytoplasmic vesicle (GO:0031410),STARD4 MALL PSMC5 TFR2 CD207 ANP32E RIN3 OPTN PI4K2
-16.813974,-0.8552616,GABA-A receptor complex (GO:1902711),GABRA3 GABRA2 GABRB3 GABRQ GABRB2 GABRP GABRA1 GABRB1 GABRA6 GABRA5 GABRA4 GABRG1 GABRG3 GABRG2 GABRR3 GABRR2 GABRR1 GABRE GABR
-15.123056,-2.322145,integral component of Golgi membrane (GO:0030173),CSGALNACT2 CSGALNACT1 SYT4 ENTPD4 GALNT2 TVP23A SYS1-DBNDD2 TVP23B SLC39A13 TVP23C YIF1A YIF1B CASD1 ACER3 ACER2 B4GAT1 UNC50 TPST1 TBC1D20 RER1 STEAP
-16.228138,1.0892376,MutLalpha complex (GO:0032389),PMS2P11 WRN MLH1 PMS2P5 PMS2P3 PMS2P2 PMS2P1 PMS2 PMS
-18.07912,-0.6666471,IPAF inflammasome complex (GO:0072557),CASP12 CASP4 CASP5 CARD18 NLRC4 CASP
-13.402409,-2.58418,lysosomal membrane (GO:0005765),STARD3 SLC12A4 EGF ATP6V1E1 AP1S1 ANKFY1 AP1B1 MYO7A CTNS LNPEP MFSD12 ZFYVE26 GDAP2 RRAGB ZFYVE16 RRAGA OSTM1 TMEM79 WDR81 PI4K2B TECPR1 PI4K2
-14.943305,-1.2810603,insulin-responsive compartment (GO:0032593),RAB4B RAB10 DENND4C RAB13 MYO5A SLC2A4 RAB4
-11.768309,1.0061116,large ribosomal subunit (GO:0015934),RPL22 COA1 RPL21 RPL36A-HNRNPH2 RPL24 RPL23 RPL13A RPL17-C18ORF32 MRTO4 RPL7L1 RPL37A RPL26 RPL28 RPL22L1 RPL27 RPL29 RPL13AP3 NHP2 RPL26L
-14.755969,-1.4015777,secretory vesicle (GO:0099503),RAB3D UNC13D DOC2B DOC2A SYTL2 RAB27A SYTL1 IGF1 SYTL5 NKD2 SYTL4 SYTL3 RAB10 DPYSL3 SYT10 DYNLT
-12.210024,-1.3231577,primary lysosome (GO:0005766),HEXA STXBP2 SNAP23 HEXB STX7 DEFA4 ANXA11 MPO AZU1 STX
-12.119278,-0.25734484,cytoplasmic vesicle lumen (GO:0060205),GSN AGL DEFA5 GCG HUWE1 MAPK14 EEF1A1 PPIA CRISPLD2 PSMC2 PSMC3 SCG3 S100A9 PPIE CDA GHDC S100A8 FCN
-17.254068,0.18198101,synaptonemal complex (GO:0000795),FAM9A UBE2I FAM9C MLH1 FAM9B TEX11 TEX12 P3H4 MLH3 CCNB1IP1 RAD51 STAG3 MSH4 MSH5 C14ORF39 FKBP
-13.597726,-2.3045368,early endosome membrane (GO:0031901),ANXA1 CAV1 DKK1 RUFY1 MARCH1 RABEP1 ZFYVE16 RAB31 SLC9A6 PIKFYVE WDR81 CD207 EPHA
-16.66143,-1.8896797,cis-Golgi network (GO:0005801),GOLGA8T GOLGA8S GBF1 B3GAT3 SLC35C2 GOLGA8K GOLGA8N GOLGA8M RAB30 GOLGA8O COPZ2 GOLGA2P5 AZIN2 GOLGA8R GOLGA8Q GOLGA6B IFT20 GOLGA6A BCL9 TRAPPC6B GOLGA6D GOLGA8F TRAPPC6A GOLGA8DP GOLGA6C HOOK3 GOLGA8H GOLGA8J ANGEL1 MPPE1 GOLGA8B RETREG1 GOLGA8
-13.994502,0.98515487,cell cortex region (GO:0099738),GPSM2 ANLN EPB41 EPB41L2 NUMA1 CTSZ ENO1 DCTN1 GNAI1 ACTR1A MYL12
-13.706641,0.03974127,cell cortex part (GO:0044448),GSN SEPT10 SEPT11 SEPT12 TRPC4 SEPT1 SEPT2 TMEM250 SELE SEPT14 SEPT5 SEPT6 SEPT3 SEPT4 ANLN STIM1 DLG4 CTTN ASPH NSMF C2CD2L EZR DBN
-17.073406,-0.8089308,axonemal dynein complex (GO:0005858),DNAH5 DNAH2 DNAH3 DNAH8 DNAH17 CCDC114 DNAH7 DNHD1 WDR78 NME8 DYNLRB1 DNAL1 DYNLRB2 DNAI1 DNAH1 DNAI
-14.113528,2.2701948,nuclear body (GO:0016604),HEXIM2 CASP8AP2 FNBP4 ESX1 DNAAF1 TRIP4 PASD1 MED7 CHFR PHF5A HNRNPM RUFY1 DDX39A DDX39B NUP98 POLR3D SARNP YME1L1 HSPA1A CDK12 CDK13 RNF222 HSPA1
-16.275007,-0.31364512,axolemma (GO:0030673),CNTNAP2 MAPT EPB41L3 THY1 SPTBN1 ROBO
-12.422978,3.948966,small nucleolar ribonucleoprotein complex (GO:0005732),NOP58 MPHOSPH10 LSM6 FBLL1 SNU13 FBL RRP9 SNRNP40 NAF1 NOP10 NHP2 NOP5
-16.752182,0.112935476,SCF ubiquitin ligase complex (GO:0019005),FBXW5 FBXW4 FBXW7 FBXW11 FBXO17 FBXO18 FBXO2 BTBD6 BTBD11 BTBD9 RBX1 KBTBD4 SPOP
-14.498731,1.5686514,"condensed nuclear chromosome, centromeric region (GO:0000780)",SYCP2L AURKA CENPA MEIKIN AURKC CENPC AURKB NDC80 MIS18BP1 NUF2 BUB1B BUB
-12.8068905,-0.71938,bicellular tight junction (GO:0005923),AOC1 CGN SHROOM2 TGFBR1 CLDN12 CLDN11 CLDN10 RAP2B RAP2C APC CLDN16 CLDN15 CLDN14 JAML RAPGEF2 AMOTL1 CLDN19 CLDN18 AMOTL2 CLDN1
-15.832531,-0.9500277,smooth endoplasmic reticulum (GO:0005790),RYR2 RYR3 RYR1 RPL10 SYVN1 GBA2 PSEN1 TH SLMAP HYOU1 CASQ1 ERP29 APO
-16.569073,1.480694,alpha DNA polymerase:primase complex (GO:0005658),POLA1 POLA2 HELB PRIM2 PRIM1 MCM
-17.255207,0.29029685,MICOS complex (GO:0061617),APOO CHCHD6 CHCHD3 APOOL DNAJC11 IMM
-14.1475725,-2.654533,clathrin-coated vesicle membrane (GO:0030665),EGF CD74 AVPR2 HSPA8 WNT5A NECAP1 TF NECAP2 CD4 RAB35 CD9 DNAJC5 CD207 HLA-DRA HLA-DQB1 ROR2 HLA-DQB
-14.522268,0.50791216,intermediate filament cytoskeleton (GO:0045111),CARMIL2 KRT5 SYCE1L KRT4 KRT3 KRT2 KRT14 KRT13 KRT8 KRT7 CTNS KRT10 SMARCA2 CLK3 PJA2 DES NSFL1C MMP14 KRT18 KRT17 KRT16 VIM PKP2 NES PLEC PKP1 S100A
-14.025169,0.99264145,spindle pole centrosome (GO:0031616),NPM1 SPOUT1 TBCCD1 NDE1 ABRAXAS2 NUMA1 AURKA EMD AURKC AURKB DLGAP
-11.041965,0.7723393,endoribonuclease complex (GO:1902555),DHX9 POP4 DICER1 TSEN2 TSEN54 TARBP2 ZFP36 AGO4 CLP1 AGO2 AGO3 AGO1 PRKR
-13.620597,-2.354475,Golgi subcompartment (GO:0098791),RBFOX1 B3GALNT1 AP1S1 SCAMP1 PI4K2B OPTN PI4K2
-15.985406,2.9039216,core mediator complex (GO:0070847),MED14 MED4 MED31 MED10 MED17 MED6 MED8 MED1
-11.0306,0.7809662,RISC-loading complex (GO:0070578),ZFP36 DHX9 AGO4 AGO2 AGO3 DICER1 AGO1 PRKRA TARBP
-13.356658,-0.65055233,cortical actin cytoskeleton (GO:0030864),GSN RDX LANCL2 SHROOM3 TRPV4 SHROOM4 MYRIP SHROOM1 SHROOM2 DCDC2 EEF1A1 HIP1R RAPGEF3 MYZAP MYAD
-13.458757,-2.1560524,extrinsic component of external side of plasma membrane (GO:0031232),TF CUBN ANXA1 SERPINE2 PCSK9 PLG FCN
-13.616029,0.28716546,catenin complex (GO:0016342),JUP SMAD7 APC ARMC7 CDH10 CDH11 CDH12 CDH13 CDH15 CDH18 CDH19 ANAPC
-16.739948,-0.77634656,phagocytic vesicle (GO:0045335),ANXA3 TAP1 TAPBP ATG12 RAB34 RAB31 RAB32 RAB38 TLR9 NCF1 ADAM8 TLR7 PIK3C3 CALR RAB7A RAB7
-15.530385,2.973509,SWI/SNF complex (GO:0016514),SMARCD1 SMARCC1 SMARCD2 RB1 SMARCD3 SMARCC2 SMARCB1 ACTL6A ACTL6B SMARCE1 ARID1A ARID1B SMARCA2 SMARCA4 NCR
-13.859909,1.0525972,microtubule minus-end (GO:0036449),ASPM SVIL NIN ABRAXAS2 NUMA1 CAMSAP1 CAMSAP2 CAMSAP
-16.345064,-1.488432,endoplasmic reticulum exit site (GO:0070971),CFAP73 OTOR MIA SEC16B SEC16A PDCD6IP CTAGE1 CTAGE6 CTAGE5 CTAGE4 CTAGE9 MPPE1 CTAGE8 PREB CTAGE1
-13.226496,-2.1639516,endosomal part (GO:0044440),USP8 ANKRD27 PRLR ANXA1 TRAPPC5 TRAPPC10 AP4B1 RBSN GH1 GH2 WDR81 SNX1
-11.908358,1.1446605,mitochondrial small ribosomal subunit (GO:0005763),MRPS27 MRPS28 MRPS26 MRPS24 MRPS21 MRPS18C MRPS22 MRPS18B MRPS2 MRPS18A MRPS7 MRPS6 MRPS5 MRPS
-13.834868,-0.5790481,microvillus (GO:0005902),TGFB1 WWOX GRXCR2 GIF AOC3 RDX ANGPT1 STARD10 MSN SYTL1 MYO7B VCAM1 SLC9A3R1 MYO1C MYO1A CDHR2 CLRN1 TEK FSCN1 CDHR5 RAPGEF3 FSCN3 ANKS4B EZR ATP6V1B1 CD44 VIL
-11.271258,5.336616,U12-type spliceosomal complex (GO:0005689),ZRSR2 ZCRB1 PHF5A LSM7 SNRPGP15 SNRPF SNRPG RBM41 SNRNP48 SNRNP25 SNRPE SNRP
-17.033144,0.79192555,mitochondrial outer membrane translocase complex (GO:0005742),TOMM40 PINK1 TOMM70 TOMM20L TOMM20 TOMM5 TOMM22 TOMM40L TOMM
-17.47112,-0.53307605,H3 histone acetyltransferase complex (GO:0070775),ING5 BRPF1 BRD1 BRPF3 MEAF6 KAT6B KAT6
-16.408194,2.9793491,DNA-directed RNA polymerase I complex (GO:0005736),IPPK ZNRD1 POLR1A POLR1B TWISTNB POLR1C POLR1D POLR2E POLR1E POLR2F POLR2H POLR2K POLR2
-11.074686,0.7608644,RISC complex (GO:0016442),DDX6 AGO4 AGO2 AGO3 DICER1 AGO1 EIF4E LIMD1 DCP
-14.735658,-2.408194,coated vesicle (GO:0030135),CCDC115 SGIP1 OCRL AP3B2 DDHD2 TICAM2 SCAMP1 YIF1A YIF1B EPN3 MALL DAB2 HIP1R COL7A1 AAK1 NUM
-16.082315,1.6720169,nucleolar part (GO:0044452),IMP4 RSAD2 CD3EAP BTBD10 PEX14 SMARCA5 ARHGAP32 DKC1 CD2BP2 RPP21 CDK12 POP1 RAI1
-14.91204,2.2050843,nuclear heterochromatin (GO:0005720),FOXC1 CBX5 H2AFZ UHRF2 ATRX CBX3 UHRF1 H2AFY CBX1 SIRT6 IKZF1 SIRT1 SIRT2 HIST1H1E KMT5C NCAPD3 BEND3 MPHOSPH8 HIST1H1B TNKS1BP
-13.223509,-0.505056,cortical cytoskeleton (GO:0030863),GSN RDX LANCL2 SHROOM3 SHROOM4 TRPV4 MYRIP SHROOM1 SHROOM2 DCDC2 EEF1A1 NSMF RAPGEF3 MYZAP MYAD
-13.432068,-2.9298842,AP-1 adaptor complex (GO:0030121),AFTPH AP1G2 AP1S1 SYNRG LDLRAP1 SLC18A
-13.186038,-1.4924328,autolysosome (GO:0044754),MAP1LC3A LAMP2 NCOA4 FTH1 LRRK2 PIK3C3 FTL SQSTM
-14.069687,-3.0967534,clathrin coat (GO:0030118),NECAP1 NECAP2 CLTC CLTB KCNQ5 CLT
-13.426471,1.1436049,calcium channel complex (GO:0034704),TRPC4 TRPC5 PDE4D FKBP1B CASQ2 CALM2 MICU2 CALM3 MICU
-11.239661,5.441364,U2-type prespliceosome (GO:0071004),SF3A2 SNRPN PRPF40B U2AF2 PRPF40A UHMK1 PRPF39 LSM7 SNRNP70 LUC7L SNRPGP15 NAA38 SNRPG SF3B1 SF3A1 LUC7L3 SNRP
-14.211973,-2.2574527,trans-Golgi network (GO:0005802),ATG9A RBFOX1 CD74 YIPF1 YIPF2 AP1S1 STX8 YIPF6 AP1B1 GOLPH3L OCRL TAS2R16 SCAMP2 RAB30 SCAMP1 KLHL20 PLEKHA8 FAM91A1 RAB31 RAB32 SLC9A7 RAB38 TMEM79 CORO7 TGFBI GOLT1A TBC1D23 GSAP PI4K2
-14.954377,-2.0060718,Golgi stack (GO:0005795),NSF TRAPPC4 GALNT2 PLK3 COG2 GOLPH3L OCRL RAB27B VRK1 MARCH9 SORL1 RAB30 MARCH4 RAB34 GOLPH3 GOLGB1 TMBIM4 RAB14 USO1 GGTA1
-13.013202,-1.7679197,vacuole (GO:0005773),ATG9A UVRAG CD74 ATP13A2 GGH HSPA8 ATG9B WIPI2 ATG14 ATG12 ATG16L1 TBC1D25 ULK1 GLB1L WDFY3 SQSTM
-16.659771,0.07713157,keratin filament (GO:0045095),KRT82 KRT71 CSNK1A1 KRT5 KRT4 FBF1 KRT3 KRT14 KRT13 KRT84 TCHP FAM83H KRT18 GPER1 EPPK
-15.591461,-2.2838757,proton-transporting V-type ATPase complex (GO:0033176),ATP6V1D ATP6V0D1 CCDC115 TCIRG1 ATP6V0A4 ATP6V0D2 ATP6V1F ATP6V1B1 ATP6V0A1 ATP6V0A2 TMEM19
-16.288866,2.9821508,DNA-directed RNA polymerase complex (GO:0000428),POLR2J2 POLR2J3 POLRMT ZNRD1 POLR2C TWISTNB POLR1C POLR1D POLR2E POLR2F POLR3H POLR2G POLR2I POLR3K POLR2J POLR2
-16.074528,-1.0006386,very-low-density lipoprotein particle (GO:0034361),APOA2 APOC4 APOA5 APOA4 APOM APOC1 SELENOS APOC3 APOA1 APOC2 APOH APOE PCYOX1 APOL1 APO
-15.156644,-2.3719356,Golgi-associated vesicle (GO:0005798),CCDC115 OCRL AP3B2 DDHD2 TICAM2 TYR YIF1A YIF1B COL7A1 STEAP
-14.973556,3.6024752,transcription factor TFIID complex (GO:0005669),TBP TAF13 TAF11 TAF12 EDF1 TAF10 GTF2H2 GTF2H3 GTF2F1 GTF2H4 GTF2H5 SUPT3H TAF1 TAF6L ERCC2 ERCC3 TAF9 TAF4B TAF8 TCEA1 TAF7 TAF6 TAF5 TAF4 TAF3 TP53 TAF
-15.716253,-0.47514158,sarcoplasmic reticulum (GO:0016529),TRDN GSTM2 NANOS1 S100A1 ANK3 JSRP1 FKBP1A HRC CASQ1 CASQ
-17.321262,-0.5241445,AP-3 adaptor complex (GO:0030123),VPS41 VPS33B AP3S1 VPS33A AP3D1 AP3S
-14.473464,1.2249869,cullin-RING ubiquitin ligase complex (GO:0031461),FBXW5 FBXW4 FBXW7 KLHL26 UBE2C FBXW11 BTBD18 FBXW8 FBXO17 KLHL28 FBXO18 FBXO2 KLHL29 BTBD6 KLHL22 KLHL23 KLHL24 KLHL25 BTBD11 BTBD9 KLHL20 RBX1 KLHL21 CDC20 UBE2S BUB1B CDC16 ASB4 MAD2L
-15.418417,2.4020083,histone methyltransferase complex (GO:0035097),NCOA6 SETD1A CBX5 SETD1B SIRT1 ZFP64 WDR82 MTF2 DYDC2 DYDC1 PHF1
-16.837088,2.1787765,NURF complex (GO:0016589),BPTF SMARCA1 RNASEK-C17ORF49 RBBP4 HMGXB4 USF1 SMARCA
-15.75012,1.1494544,lateral element (GO:0000800),FAM9A RAD51 FAM9C BLM FAM9B SYCP3 SYCP2 MEI4 BRCA1 BRCA
-13.74061,1.969352,centrosome (GO:0005813),PCGF5 TRIP4 IFT81 IFT80 ZFYVE26 DYNC1LI1 ZFYVE19 DYNC1LI2 HSPA1A POLR3H CEP85 RABL6 CEP89 HSPA1
-15.80728,-1.6270906,gamma-secretase complex (GO:0070765),APH1B APH1A PSENEN TMED10 PSEN1 NCST
-17.494598,-0.07796098,MLL3/4 complex (GO:0044666),PAGR1 PAXIP1 RBBP5 ASH2L KMT2D WDR5 KMT2C UTY DPY30 KDM6A KDM6
-13.931817,1.1227531,microtubule end (GO:1990752),NCKAP5L SVIL DST ABRAXAS2 NUMA1 SPAG5 DCTN1 SLAIN2 NAV3 CAMSAP1 CKAP5 CAMSAP2 CAMSAP3 ASPM CLIP2 KIF18B KNSTRN CLIP1 NIN CDK5RAP2 CLASP1 KIF2
-16.77225,2.2432024,ISWI-type complex (GO:0031010),CECR2 BPTF CHRAC1 SMARCA1 RNASEK-C17ORF49 RBBP4 BAZ1A HMGXB4 RSF1 USF1 SMARCA
-16.829576,-0.91670656,potassium channel complex (GO:0034705),KCNJ11 ABCC8 KCNIP2 ABCC9 GRIK4 KCNAB1 KCNA5 GRIK5 KCNA6 GRIK2 GRIK3 GRIK1 KCNK1 KCNK
-16.021395,1.2809117,synaptonemal structure (GO:0099086),UBE2I MLH1 SYCP3 SYCP2 SYCP1 TEX11 P3H4 MLH3 CCNB1IP1 RNF212 RNF212B STAG3 MSH4 MSH5 FKBP
-15.691102,-1.5192487,multivesicular body lumen (GO:0097486),SFTPB SFTPC NAPSA CTSH PGA4 PGA3 PGA
-13.787328,-3.068383,early phagosome (GO:0032009),SNX3 UNC93B1 SYK SYT11 TLR9 TLR7 SYT
