x,y,Name,Genes
3.9304132,9.632142,semaphorin receptor activity (GO:0017154),NRP1 NELL2 PLXNC1 PLXND1 PLXNA3 PLXNA2 PLXNB3 PLXNB2 PLXNA1 PLXNB1 PLXNA
5.609028,5.6917567,7SK snRNA binding (GO:0097322),HEXIM2 CDK9 HEXIM1 CCNT2 CCNT1 DDX2
4.523904,5.548354,androgen receptor binding (GO:0050681),NCOA3 KDM4C NCOA1 DAXX PRMT2 NCOA4 ARID5A FOXH1 WIPI1 PRKCB PIAS1 SMARCA4 PIAS2 PRPF6 FOXP1 SNW1 CDK7 CCNE1 PKN1 CALR RA
5.1503453,4.1373777,transcription regulatory region DNA binding (GO:0044212),ZNF281 FOXH1 RUNX1 RFX3 SOX12 SMARCA2 SOX11 CCAR1 HNRNPL RFX6 TFAM CDK12 CDK13 BCOR ZNF831 TP5
4.7584324,8.094451,protein phosphatase inhibitor activity (GO:0004864),SET PPP1R14A CABIN1 PPP1R14B PPP1R14C PPP1R14D PPP1R11 PPP1R2P9 BOD1 PTN LMTK2 RNF7 ARPP19 PPP1R9B PPP1R2P1 PPP1R2P3 PPP1R2 PPME1 PPP1R1B PPP1R1A ENSA PPP1R8 PPP1R1
7.033452,9.326266,transmembrane receptor protein serine/threonine kinase activity (GO:0004675),ACVR1 ACVRL1 BMPR2 HFE2 LTBP4 LTBP1 TGFBR1 ACVR1B TGFBR2 ACVR2A TGFBR3 SOSTDC1 BMPR1A BMPR1
6.2636957,5.7774277,RNA 7-methylguanosine cap binding (GO:0000340),CYFIP2 CYFIP1 NCBP2 NCBP3 AGO2 NCBP1 GEMIN5 EIF4E DCP
5.9816093,7.70868,Lys48-specific deubiquitinase activity (GO:1990380),OTUD5 USP27X ATXN3 USP7 USP9X MINDY2 MINDY3 MINDY1 OTUD7B YOD
7.5958657,7.7367616,protein serine/threonine kinase activity (GO:0004674),CDK18 ACVR1 CDK19 DCLK3 PASK PRKAB2 DCLK2 MAPK13 DCLK1 MAPK14 MAPK11 MAPK12 CDK10 ULK3 SIK2 ULK2 CDK12 ULK1 ALPK3 SIK3 CDK13 ALPK2 CDK14 SIK1 CDK15 ALPK1 CDK16 CDK1
3.6622722,10.434197,RNA polymerase III activity (GO:0001056),CRCP POLR3A POLR3B POLR3C POLR3D POLR3E POLR1C POLR3F POLR1D POLR2E POLR2F POLR3H POLR2H POLR3K POLR2K POLR2
5.291148,11.65227,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)",AKR1C4 AKR1C3 ALDH5A1 ALDH3A2 ALDH4A1 ALDH7A1 ALDH6A1 ALDH1A1 ALDH1A3 ALDH3A1 ALDH1A2 ALDH18A1 FAR1 FAR2 AKR1B10 ALDH9A1 ALDH8A1 ALDH16A
0.6951622,10.994577,oxalate transmembrane transporter activity (GO:0019531),SLC26A1 SLC26A3 SLC26A2 SLC26A10 SLC26A9 SLC26A8 SLC26A11 SLC26A5 SLC26A4 SLC26A
3.6893156,11.162934,lipase activity (GO:0016298),LYPLA1 CEL DDHD1 DDHD2 CES4A NCEH1 SEC23IP PLA2G10 AADAC PNPLA4 PNPLA5 GOLT1A LDAH MGLL PNPLA1 CES3 PNPLA
5.7862887,9.772544,"4 iron, 4 sulfur cluster binding (GO:0051539)",ISCA2 NUBPL NFU1 RSAD2 EXO5 CDK5RAP1 ETFDH ISCU ACO2 SDHB ACO
0.36550426,9.878291,bile acid:sodium symporter activity (GO:0008508),SLC10A5 SLC10A6 SLC10A1 SLC10A2 SLC10A3 SLC10A
