x,y,Name,Genes
10.386433,-1.7366822,2-Ketobutyric acid (HMDB00005),BCKDHB BCKDHA PDHA2 PDHA1 PDHB UROC1 TMLHE ALKBH3 LDHC BCKDK LDHB OGDHL ALKBH2 CTH LDHAL6A OXGR1 LDHAL6B OGDH 
17.80677,-3.1671207,2-Methoxyestrone (HMDB00010),UGT1A10 UGT2B11 UGT2B10 UGT2A1 UGT2B15 UGT1A1 UGT2B28 UGT2B17 COMT UGT1A6 UGT1A5 UGT2A3 UGT2B4 UGT1A4 UGT1A3 UGT1A9 UGT1A8 SHBG UGT1A7 
12.119088,-1.6710141,Sulfatide (HMDB00024),ARSA ADAMTSL1 GALC GAL3ST1 SELP PSAP SELL LAMA1 MBP ARSE ARSD 
10.038171,-1.6102157,Tetrahydrobiopterin (HMDB00027),TPH2 TPH1 NOS3 GCH1 TYR PTS NOS2A QDPR TH SPR PAH NOS1 PCBD1 GCHFR 
10.707078,-1.6702678,Biotin (HMDB00030),BTD HLCS PC DKFZP686B20267 PCCB PCCA MCCC1 MCCC2 ACACB SLC5A6 ACACA 
33.171585,10.515273,Androsterone (HMDB00031),UGT2B11 UGT2B10 UGT2A1 UGT2B15 UGT1A1 AKR1C2 UGT2B17 AKR1C1 AKR1C4 AKR1C3 AR DHRS9 UGT2B4 UGT2B7 UGT1A10 UGT2B28 SULT2A1 UGT1A6 UGT1A5 UGT2A3 UGT1A4 UGT1A3 UGT1A9 UGT1A8 UGT1A7 
9.698407,-1.5383649,Aldosterone (HMDB00037),AKR1D1 PTGER4 FN1 ADM NR3C2 NR3C1 EGFR CTGF MLPH CYP11B2 NPPB CYP11B1 SGK PRKD1 AGTR1 
9.328008,-1.7387387,Butyric acid (HMDB00039),HDAC5 SLC16A1 HDAC3 HDAC4 HDAC1 HDAC2 ACSM1 PPARG CASP3 TNF HDAC9 
10.244797,-1.2254893,Acetic acid (HMDB00042),ACYP1 ACOT12 ACYP2 PAFAH2 ALDH3A2 ALDH7A1 ALDH1A3 ALDH3A1 PIGL PAFAH1B1 ALDH9A1 ASPA PAFAH1B3 PAFAH1B2 ACHE ACY3 PON3 PON2 ACY1 PLA2G7 CLYBL CYP17A1 ALDH1B1 ALDH2 ALDH3B2 ALDH3B1 ACSS2 ACSS1 SIAE 
10.22952,-1.813245,Ascorbic acid (HMDB00044),EGLN2 EGLN1 PHYH EGLN3 LEPRE1 BBOX1 LEPREL2 LEPREL1 TMLHE CYBASC3 P4HA1 PLOD1 P4HA2 P4HA3 P4HB PAM PH4 SLC23A3 SLC23A2 SLC23A1 DBH PLOD3 PLOD2 ALKBH3 OGFOD1 OGFOD2 
10.8907,-1.6805546,Adenosine monophosphate (HMDB00045),ENTPD1 ENTPD3 ACSL3 ACSL1 ENTPD8 AMFR ACSL6 ACSL5 ACSL4 CHFR ASS1 KARS PARS2 TARS2 TRIM11 RNF2 RP11-163G10.1 ADCY1 MYCBP2 RTCD1 CBLC CBLB RNF8 RNF5 UBE2L6 UBE2L3 SEPHS1 HERC3 HERC2 HERC1 IARS2 SEPHS2 SIAH1 MARS2 SIAH2 TOPORS QARS RAD18 HPRT1 DZIP3 TARSL2 VARS PDE1C PDE1B PDE1A ACSM1 NEDD4L EPRS FARS2 UBE2J1 UBE2J2 PDE2A WARS AMPD1 AMPD2 AMPD3 UBE2G2 UBE2G1 PRPF19 GARS AARS HARSL ADK LRSAM1 AACS HINT1 HLCS TRIM5 LARS UBE4A UBE2E2 UBE2E3 UBE4B WWP2 SYVN1 UBE2E1 ITCH APRT MIB1 RFWD2 RNF128 LARS2 NEDD4 MARS TRIP12 CARS2 HNP95 IBRDC2 PYGB NUDT2 PYGL RARS PYGM NUDT5 NUDT12 RNF138 ENPP1 ENPP3 LOC51619 MYLIP UBE2H UBE2I UBE2C LIG1 PDE6H PDE6G UBE2F SARS LIG4 UBE2A HUWE1 UBE2B LIG3 MID1 UBE2W UBE2Z UBE2S UBE2U CNOT4 UBE2O RARSL PDE7B UBE2M UBE2N PARK2 UBE2D3 UBE2D1 UBE3A UBE2D2 UBE3B UBE3C YARS2 NT5C HARS AK3L2 NT5M ACSS2 ACSS1 PDE8B PDE8A AASDHPPT PDE10A2 YARS FANCL DARS2 CCNB1IP1 CREB1 UBE2R2 BIRC6 UBA2 IARS SLC27A5 SAE1 MDM2 PDE9A UBE1C VARSL AK1 AK2 AK3 AK5 MARCH10 AK7 NARS DARS TRIM63 SMURF2 SMURF1 ASNS MARCH9 MARCH8 MARCH7 PJA1 MARCH6 MARCH5 MARCH4 PJA2 MARCH3 NT5C1A MARCH2 SARS2 MARCH1 NT5C1B PDE3B PDE3A UBA7 UBA6 UBR5 GMPS UBR4 NRF1 TARS UBR2 UBR1 NT5C3 FHIT PDE11A NT5C2 UBE2Q2 PDE4C PDE4B PDE4A PRPS1L1 RNF25 ADSL DKFZP686F1612 PDE4D DCK WARS2 RNF20 CDC34 PDE10A LNX1 GTAP PDE5A STUB1 TRIM32 TRIM33 UBE1 PRPS2 CANT1 ADPGK MGRN1 PRPS1 CBL NADSYN1 ZNRF1 ZNRF2 NARS2 PDE6D UBE2NL BPNT1 FARSLB FARSLA EARS2 
11.086069,-1.4475992,Adenosine (HMDB00050),AHCYL1 SLC35B3 NP AHCY SLC35B2 ADK DCK NT5C3 NT5C2 NT5C1A ADORA2B NT5C1B ADORA2A NT5C ADORA3 NT5M ADORA1 ADA KIAA0828 
10.18959,-1.6987281,Ammonia (HMDB00051),AOC2 AOC3 AMPD1 AMPD2 ASRGL1 AMPD3 UPB1 DAO GLUD1 GLUD2 GNPDA1 GNPDA2 HAL HMBS CPS1 CTH ADA CDA RHCG GLS2 GDA MAOB MAOA GMPR GMPS GLS PIG59 PNPO AID RHBG SDS CAD AMT QPCT CTPS2 CTPS BTD DCTD LOX PADI4 PADI3 RHAG PADI2 PADI1 GMPR2 F13A1 DDO FTCD TGM2 TGM1 TGM7 TGM6 TGM5 TGM4 TGM3 ABP1 
9.132596,-1.6289854,Androstenedione (HMDB00053),SRD5A2 HSD3B1 CYP3A43 HSD3B2 CYP4B1 AKR1C3 AR CYP2C9 CYP2A7 CYP2A6 CYP2C8 CYP2S1 CYP11B2 LEP CYP11B1 CYP1A2 CYP1A1 CYP2E1 AKR1D1 CYP3A4 CYP3A5 CYP2C19 CYP19A1 CYP3A7 CYP17A1 CYP4Z1 CYP4X1 CYP2B6 CYP2A13 HSD17B2 CYP2D6 HSD17B3 SRD5A1 CYP1B1 CYP2F1 CYP2J2 
17.739586,-3.243229,Bilirubin (HMDB00054),UGT1A10 UGT2B11 UGT2B10 ABCC2 UGT2A1 UGT2B15 UGT1A1 UGT2B28 UGT2B17 AFP SLCO1B1 ALB HMOX1 UGT1A6 UGT1A5 UGT2A3 UGT2B4 UGT1A4 UGT1A3 UGT1A9 BLVRB UGT1A8 BLVRA UGT1A7 
10.289675,-1.2801148,Beta-Alanine (HMDB00056),SLC6A6 ALDH3A2 ALDH7A1 ALDH1B1 ALDH2 ALDH1A3 GAD2 GAD1 ALDH9A1 ABAT CNDP1 UPB1 
