x,y,Name,Genes
4.086491,0.30306348,2005 nitrogen dioxide air pollution 24016 raw,MSRA HLA-G MAPK8IP1 LRRC4
4.224953,0.33367682,2006 nitrogen dioxide air pollution 24017 raw,MSRA HLA-G MAPK8IP
5.001149,0.6119305,2007 particulate matter air pollution (pm10) 24019 raw,MSRA RIMS2 SLC9A5 HDGFL1 AMY1C CDH12 FRMD4B ZNF50
5.354518,0.15386483,A/AS levels or equivalent 6138 2,RHOA MECR BTN3A2 CADM2 NSUN3 SUMF1 SORCS3 LINGO1 PTPRF GPD2 HIST1H4H EXOC4 CALU G2E3 RNF182 PIK3C3 MPHOSPH9 QRICH1 UTRN SDCCAG
4.1226196,0.2169353,Able to confide 2110,SEMA6D ZNF19 OR9I1 BNC2 PHF2 PTPRJ GRAMD3 MARVELD3 MDFIC PMFBP1 PRKD1 TCF
4.127926,-0.1530963,Able to pay rent/mortgage as an adult 20525,SEPT10 MAML3 BAI3 TSHZ3 OR9Q1 GPHN SCAF
3.7790258,1.6783597,Accpeted invitation to complete dietary questionnaire 110001,EBF1 ADAMTS9 ZNF599 MAP3K
6.2742276,3.933415,Added milk to filtered coffee 100280,TMEM135 TJP1 RAP1GAP2 PCDH
5.914456,-2.3184047,Adult-onset Still disease STILL ADULT,TNXB RING1 LTB MICA MUC21 C1ORF52 HLA-DRB
4.632711,-2.1017659,Age asthma diagnosed 3786 raw,IL33 GSDMB TSLP BAZ1B ARHGAP27 TLR1 ID2 HLA-DQB1 IL18R
2.7089877,-0.38293114,Age asthma diagnosed by doctor 22147 raw,NYAP2 ZPBP2 THEM4 IKZF
4.643426,-0.32337537,Age at first live birth 2754 raw,BARHL2 RHOA MAML3 HTT BCL11A GATAD2A STMND1 TMEM182 MST1R TMTC2 TRAF3 LHFPL3 PAX1 ESR1 HS6ST2 IKZF4 SORCS3 CDH8 MMS22L CNGB3 IP6K2 MAD1L
5.0709767,-0.113280416,Age at last live birth 2764 raw,USP4 BCL11A MST1R LONRF2 SORCS3 C9ORF6
3.3792489,-1.0815929,Age at menopause 3581 raw,TMEM150B GK ACSL1 FSHB ARID3A APTX NRBP1 MSL2 SLCO4A1 MSH
5.3759274,1.8915062,Age cataract diagnosed 4700 raw,PTPRN2 PTCD3 CA10 AKR1E2 LRRN3 WDPCP LMO4 KAZN MED13L HS3ST2 SHISA7 FAM133A KIF16B RFX7 APLF KATNAL1 SPNS2 CPEB4 COPS8 UTRN FRK ZNF15
5.4341702,0.0030004494,Age completed full time education 845,ARFGEF2 RHOA RARS2 PLCL2 BTNL2 SORCS3 LINGO1 PTPRF EXOC4 CDK2AP1 GTF2IRD
6.36791,-1.0117174,Age diabetes diagnosed 2976 raw,C9ORF135 KDM4C FOXB1 CDKL5 MAS1L MYO5B HLA-B C12ORF55 ZBTB9 LPHN2 MEX3B TH TMEM18 NFIB CDH11 HLA-DQB1 RPP21 CIAPIN1 FOLR4 TRIM39 KLRB1 TRIM32 BDP
5.5223784,0.6177249,Age first had sexual intercourse 2139 raw,ABCG8 TFAP2B RBFOX1 KIRREL3 CADM2 IST1 CACNA2D2 TYW3 KLHL29 VRK2 C20ORF197 C20ORF112 LRP1B FOXP2 CPEB1 LRFN5 HIST1H4H CNTN3 LRRN
4.5820756,-1.8685044,Age hay fever/rhinitis/eczema diagnosed 3761 raw,MAGI2 EYA2 ARNT BTNL2 ACTL9 WDR36 SERPINB7 TLR1 RPS26 RAD51B HLA-DQB1 TLR1
3.0719893,2.361512,Age high blood pressure diagnosed 2966 raw,CACNB2 ATXN2 NOS3 ARL3 OR5P2 ZNF831 RGL3 CDH18 FGF5 RPH3A CPPED
2.807341,-0.6681449,Age started hormone-replacement therapy 3536 raw,RSL1D1 TMEM150B MCM8 ARHGAP6 PRRC2
3.197332,1.660786,Age started smoking in current smokers 3436 raw,ATRNL1 P2RY11 TRIQK RRM1 ANKRD30B MIB1 NPEPL1 MAB21L1 CDH13 SIK3 C21ORF2 ACO1 ULBP
3.3322697,-0.7087142,Age started smoking in former smokers 2867 raw,CCBE1 METTL15 GALNT16 GRK7 SYT
4.9094276,1.9379414,Age started wearing glasses/contact lenses 2217 raw,RBFOX1 TFAP2D UBE2I ZNF165 CADM2 ZNF281 PRSS56 DCDC1 LRIT2 GPD2 BRWD1 PCDHB
4.788489,-1.0193338,Age stroke diagnosed 4056 raw,ATRNL1 USP6NL TMEM51 COBL OLIG3 LMO7 CRIM1 OTOL1 TSN SPANXN3 GRM7 HES1 ZNF23
3.4100022,1.3399632,Age when cancer first diagnosed 20007 raw,GPRIN3 OR7G1 SLC44A5 IRX1 PTPRQ NAGLU FMR1 ELAVL2 CSMD
