x,y,Name,Genes
-4.468749,-9.114541,NOL12,NOP16 IMP3 SURF6 DDX56 CCDC137 PAPD5 NOC3L DDX31 FTSJ3 GNL3 REXO4 LARP7 GLTSCR2 GTPBP4 NSA2 EBNA1BP2 LIN28B MYBBP1A DKC1 RPL7L1 RPL26 GZF1 RPS24 FYTTD1 RPL26L1 RBM28 RRP8 ZNF771 DDX27 WHSC1 NIP7 MPHOSPH10 DDX24 ZC3HAV1 DDX21 RPF2 DHX30 LLPH DHX57 PURA PES1 RPS5 BRIX1 RPL17 RRS1 LYAR RPS13 
19.013361,-7.1185207,SND1,ATP6V1D RPL3 RPL30 RPL11 DDX47 RPL21 RPS9 RPL27A RPS5 RPS3 RPS15A 
1.3912591,-5.191787,RPL8,SSB TUFM RPS8 RPL22 RPL21 RPS9 RPL24 RPL23 RPS7 RPSA MTHFD1 RPL26 FAU RPL22L1 RPL27 RPL26L1 RPL11 RPL10 RPL13 RPL12 HNRNPU ATP5A1 NOLC1 RRBP1 NOL6 FBL RPL36AL PES1 RPL15 RPS5 RPL14 RPS3 RPL18 MINA SRPK1 RPL3L RPS27 RPS29 RPL27A RPS20 RPS23 RPS25 RPL6 RPL31 RPL3 RPL4 RPL30 RPL35 RPL34 ATP5C1 RPL9 RPL7 RPS15 RPS19 G3BP1 RPL37 RPL36 RPL39 RPS12 RPS11 RPS14 RPS13 NSUN2 NAP1L1 RPS3A RPL37A NAT10 EEF1G CALR SLC25A4 SLC25A3 ATP5O RPF2 RPS15A ZNF622 RPS27A HIST1H1B HIST1H1C NPM1 RPL35A RPL23A EBNA1BP2 CANX TSR1 SLC25A6 SLC25A5 RPLP0 HSP90AB1 RPLP2 YBX1 RPL10A RPS4X RPL18A IGF2BP1 IGF2BP3 RACK1 RPL7A RBM34 
-10.9822235,-1.6506654,COMMD1,COMMD9 COMMD10 FAM45A COMMD3 COMMD4 CCDC22 CCDC93 VPS29 
20.734167,-12.036382,PDS5B,STAG1 RAD21 PRPF19 CDCA5 CDC5L EIF2S2 SMC1A WAPL SMC3 
17.629105,-15.517931,TPR,RBM39 CPSF6 RANBP2 SF3A3 DDX17 THOC2 CDC5L PRPF40A EIF2S2 WBP11 SRRM2 U2SURP HNRNPM KPNB1 PRPF8 SNRNP40 PRPF19 PRPF31 CDK12 ACIN1 SRSF5 SRSF6 SRSF7 SNRNP200 SF3A1 RBM25 KHDRBS1 SF3B3 TCERG1 DDX5 DHX9 SRRT DDX23 DDX46 PSIP1 IPO7 CDC73 SNU13 EFTUD2 RUVBL1 SART1 SNRPD2 PUF60 SNRPD1 DHX15 SF3B1 SF3B2 SRSF11 
13.664174,7.021924,GNAI2,RIC8A GNG4 GNB1 GNB4 GNAI3 
16.609211,-14.314762,LMNB1,DHX9 SRRT SRSF1 U2AF2 PNN SRRM2 U2SURP RUVBL1 DHX15 TRA2B PPIG RNPS1 SRSF6 SRSF7 
1.316409,-4.89604,RPL5,SSB TUFM SND1 SUPT16H RPS8 RPL22 DIMT1 RPL21 RPS9 RPS6 RPL24 EIF1AX RPL23 RPS7 RPSA EEF1A1 SERBP1 MTHFD1 RPL26 FAU RPL28 HNRNPC RPL22L1 RPL27 RPL26L1 RPL11 RPL10 RPL13 RPL12 HNRNPU NOLC1 FBL RPL36AL PES1 RPL15 RPS5 RPL14 RPS2 RPS3 RPL19 RPL18 MYH7B MINA EEF2 EIF2S1 SRPK1 RPL3L PUM3 RPS27 RPS26 RPL27A NCL RPS21 RPS20 RPS23 RPS25 RPL6 RPL31 PWP1 RPL3 RPL4 RPL30 MEPCE RPL32 RPL35 RPL34 ATP5C1 SRP14 RPL9 RPL7 RPL8 RPS16 EEF1B2 RPS15 RPS18 RPS19 G3BP1 RPL37 RPL36 RPL39 RPS10 RPL38 RPS12 RPS11 RPS14 RPS13 EIF5B NSUN2 BTF3 HSP90AA1 RPL13A PA2G4 NAP1L1 RPS3A RPL37A NAT10 EEF1G PABPC1 CALR SLC25A3 DUSP18 RPF2 HIST1H1E RPS15A HIST1H1A ZNF622 RPS27A HIST1H1B HIST1H1C HIST1H1D NOP58 NPM1 NPM3 RPL35A RPL23A EBNA1BP2 HADHA CANX TSR1 UBA52 SLC25A6 SLC25A5 EIF3B RPLP0 RPLP2 RPL10L RPLP1 YBX1 RPL10A RPS4X RPL18A RRP15 IGF2BP1 IGF2BP3 RACK1 RPL7A RBM34 
-11.001233,-1.6715174,DSCR3,COMMD9 FAM45A COMMD3 COMMD4 CCDC22 COMMD2 CCDC93 COMMD7 COMMD8 VPS29 
9.782956,-13.768675,RPL7L1,ZNF771 DDX27 NOP16 IMP3 IMP4 DDX24 DDX21 PAPD5 GNL3 REXO4 RPF2 GLTSCR2 DHX30 MYBBP1A DKC1 PES1 RPS5 RRS1 GZF1 LYAR 
12.93189,4.3399563,HNRNPH1,SYNCRIP HNRNPK HNRNPA2B1 HNRNPH2 HNRNPA1L2 TARDBP SKIV2L2 
1.2702286,-4.7224617,SERBP1,TTC37 NPM1 NPM3 RPS8 RPL21 RPS9 RPS6 RPL24 EIF1AX RPL23 RPS3A RPL27A DHX29 RPS20 RPL27 RPS23 RPS25 CCDC124 RPL6 MPG RPL3 RPL4 RPL30 RPLP0 DDX47 RPL10 RPL35 RPL13 RTCB HNRNPU RPL10A RPL9 RPS16 RPS4X RPS18 RPL18A RPS19 G3BP1 RPL14 RPL36 RPS3 RACK1 RPS15A ZNF622 RPL18 RPL7A RPS14 RPS13 
15.268652,-5.4128404,CDC40,AQR ISY1 DHX8 BUD31 CDC5L CWC15 CRNKL1 XAB2 SNW1 RAB43 SYF2 CCDC12 PPIE RBM22 BCAS2 
4.1620693,-12.094247,RING1,RNF2 RYBP PCGF5 CBX4 YAF2 
18.137262,-15.177563,DDX23,PRPF6 HNRNPM SART1 PRPF8 SF3A3 USP39 PRPF31 PRPF40A SNRPB2 
18.136703,-15.246793,WBP11,PRPF6 PRPF8 SF3A3 PRPF31 ACIN1 SRSF6 SF3A1 SF3B2 
13.737203,6.5273356,NOL6,NPM1 RPS7 RPS3A GNL3 MYBBP1A PABPC4 TSR1 RPS25 RBM28 RPL6 RPL3 RPL30 RPLP0 RPL10 DDX24 HNRNPU RRBP1 RPL7 FBL RRP9 LARP1 RPS4X DHX57 RPS5 RPS14 
