x,y,x,y,Name,Genes
18.096783,3.186108,6.7363095,6.6594195,1-cysPrx C,PRDX4 PRDX3 PRDX6 PRDX2 PRDX1 
16.201174,4.604487,7.806394,6.705835,14-3-3,YWHAG YWHAE YWHAB YWHAQ SFN YWHAZ YWHAH 
16.644909,-0.46211526,8.674284,7.3041916,2OG-FeII Oxy 2,ALKBH3 ALKBH6 ALKBH5 ALKBH2 ALKBH1 ALKBH8 ALKBH7 
14.100162,3.8049169,4.846904,10.587119,2OG-FeII Oxy 3,EGLN2 EGLN1 P4HA1 EGLN3 P4HA2 P4HA3 OGFOD3 P3H3 P3H2 P4HTM P3H1 
17.49584,4.2200074,5.8423824,11.671268,4HBT,THEM4 ACOT11 ACOT12 ACOT13 THEM5 ACOT7L ACOT7 
14.928957,-0.75168425,9.496101,8.818039,A2M BRD,C4B C5 PZP OVOS1 CPAMD8 CD109 OVOS2 A2M A2ML1 C4B_2 C4A C3 
17.013113,-0.0031423438,9.541132,10.935283,A2M recep,C4B C5 PZP OVOS1 CPAMD8 CD109 OVOS2 A2M A2ML1 C4B_2 C4A C3 
16.768747,4.0212708,5.497696,7.1282063,AAA,ATAD2 NSF ATAD1 RFC4 RFC5 RFC2 ATAD5 IQCA1L RFC1 PEX1 KATNA1 ATAD3A NAV3 WRNIP1 ATAD3C BCS1L ATAD3B AFG3L2 PSMC6 PSMC4 KATNAL2 PSMC5 PSMC2 PSMC3 KATNAL1 PEX6 YME1L1 PSMC1 TRIP13 IQCA1 NVL VCP VPS4A VPS4B FIGN SPG7 SPATA5 ATAD2B CHTF18 SPAST SPATA5L1 ORC1 FIGNL2 FIGNL1 LONP2 LONP1 
17.364618,3.953194,8.864035,11.665355,AAA 6,DNAH14 DYNC2H1 DNAH5 DNAH12 DNAH2 DNAH11 DNAH3 DNAH8 DNAH9 DNAH17 DNAH6 DNAH7 DNHD1 DNAH10 DNAH1 DYNC1H1 
17.176529,-0.24172434,6.1628437,7.0635066,AAA 8,DNAH14 DYNC2H1 DNAH5 DNAH12 DNAH2 DNAH11 DNAH3 DNAH8 DNAH9 DNAH17 DNAH6 DNAH7 DNHD1 DNAH10 DNAH1 DYNC1H1 
17.49573,3.458979,6.441679,12.208415,AAA 9,DNAH14 DYNC2H1 DNAH5 DNAH2 DNAH11 DNAH3 DNAH8 DNAH9 DNAH17 DNAH6 DNAH7 DNAH10 DNAH1 DYNC1H1 
16.915607,4.485976,5.694922,7.0583177,AA permease C,SLC7A14 SLC7A1 SLC7A2 SLC7A3 SLC7A4 
14.093111,3.247117,8.682103,8.255582,ABC tran,ABCC4 ABCG8 ABCC5 ABCC2 ABCC3 ABCC8 ABCC9 ABCC6 TAP2 TAP1 ABCA10 ABCA12 ABCC10 ABCG1 ABCG4 ABCC1 ABCG5 ABCG2 ABCB4 ABCB1 ABCB7 ABCB8 ABCB5 ABCB6 ABCB9 ABCF3 ABCF1 ABCF2 ABCA2 ABCA3 ABCA1 ABCA6 ABCA7 ABCA4 ABCA5 ABCA8 ABCA9 ABCB10 ABCB11 ABCA11P CFTR ABCE1 ABCD3 ABCD4 ABCA13 ABCC11 ABCC12 ABCD1 ABCD2 
18.467333,2.7582772,4.936064,8.08529,ACBP,ACBD7 ACBD6 ACBD5 ECI2 DBI ACBD4 ACBD3 
